timestamp_local,timestamp_utc,month,zen,azi,dni,dhi,ghi,T_ambient,tilt_analytic_2D,Isc_2D,Voc_2D,Imp_2D,Vmp_2D,Pmax_2D,FF_2D,tilt_fixed_3D,Isc_3D,Imp_3D,Vmp_3D,Voc_3D,Pmax_3D,FF_3D
2024-06-21 11:00:00+05:30,2024-06-21 05:30:00+00:00,Jun,21.954393950760846,58.6543525436274,797.5192103560686,177.58650215275384,917.2674222393946,26.44,11.842921125461514,12.09,3.815,11.42,3.2187,36.7652,0.7974,31,16.68176142107837,15.684638116559972,3.188086172344689,3.815,50.003977897635295,0.7857205401486025
2024-06-21 12:00:00+05:30,2024-06-21 06:30:00+00:00,Jun,11.637375942151706,25.204340329694276,811.9241636521415,183.70604952188035,978.9391938018174,27.17,10.555595334723074,13.03,3.815,12.31,3.2187,39.6132,0.7968,31,17.389013184883883,16.325272675730208,3.203376753507014,3.815,52.295998984097395,0.7883135371454341
2024-06-21 13:00:00+05:30,2024-06-21 07:30:00+00:00,Jun,13.881427817950836,320.2678320793492,809.6163509413308,182.6968885631768,968.6663990792496,28.11,10.760943921028025,12.88,3.815,12.15,3.234,39.2853,0.7998,31,17.211803987666833,16.17720660997331,3.2110220440881765,3.815,51.94536703639326,0.7910899829896899
2024-06-21 14:00:00+05:30,2024-06-21 08:30:00+00:00,Jun,25.561406710533745,297.66308749716586,789.9907560560874,174.54667501277845,887.2109317613991,28.58,12.519800696240523,11.62,3.815,10.98,3.2492,35.6628,0.8044,31,16.31165617472017,15.343143553916285,3.2110220440881765,3.815,49.2671721772346,0.7917080022045458
2024-06-21 15:00:00+05:30,2024-06-21 09:30:00+00:00,Jun,38.911208402482195,291.3715336398484,747.5223563322292,159.06591398435194,740.7169177392062,28.58,16.391925665722457,9.32,3.815,8.83,3.2569,28.7544,0.8086,31,14.521471376946732,13.674895093784107,3.2186673346693384,3.815,44.014938143392904,0.7945018822242339
2024-06-21 16:00:00+05:30,2024-06-21 10:30:00+00:00,Jun,52.60814029874745,289.73423739952153,667.7159971868304,135.36729688863562,540.8258260813384,28.02,23.83431267244482,6.09,3.815,5.79,3.2416,18.7602,0.8069,31,11.37207182359635,10.748597080956321,3.2110220440881765,3.815,34.51398216997257,0.795538009176924
2024-07-21 09:00:00+05:30,2024-07-21 03:30:00+00:00,Jul,49.697274883857474,74.13923173626011,676.9553187063985,145.08117746962972,582.9353760205629,21.89,17.860703766197005,7.24,3.815,6.86,3.1804,21.8061,0.79,31,12.649391709730118,11.952097843092474,3.134569138276553,3.815,37.46467703661942,0.7763504505665936
2024-07-21 10:00:00+05:30,2024-07-21 04:30:00+00:00,Jul,35.66827371402687,73.03561163288987,749.7814483310972,167.98089680605892,777.0988747656193,22.94,11.827856550775033,10.26,3.815,9.7,3.1881,30.934,0.7906,31,15.302144344268104,14.407012320483574,3.1498597194388775,3.815,45.380067785750846,0.7773530442164652
2024-07-21 11:00:00+05:30,2024-07-21 05:30:00+00:00,Jul,21.86957558255284,67.36588686696115,788.0675955273814,182.50059731407623,913.8507505401823,23.97,8.781039238475529,12.32,3.815,11.63,3.1881,37.0932,0.7889,31,16.889960733661894,15.874599731644647,3.1727955911823646,3.815,50.366860040346886,0.7816668511133296
2024-07-21 12:00:00+05:30,2024-07-21 06:30:00+00:00,Jul,9.668255274090981,39.32914658150111,804.3959676398005,189.43452015144635,982.4047035603969,24.39,7.507112586018161,13.34,3.815,12.6,3.1804,40.0783,0.7872,31,17.611385781689492,16.5418029415098,3.180440881763527,3.815,52.610226333253934,0.7830366638843208
2024-07-21 13:00:00+05:30,2024-07-21 07:30:00+00:00,Jul,10.965913598934051,313.4012603507821,803.3020510843605,188.95342228466927,977.5867213676977,24.3,7.5834904042138795,13.27,3.815,12.53,3.1804,39.8638,0.7872,31,17.595352719081955,16.55698843233082,3.1727955911823646,3.815,52.53193990135664,0.7825839185399981
2024-07-21 14:00:00+05:30,2024-07-21 08:30:00+00:00,Jul,23.632699324488428,291.31004482652213,784.4928086988816,181.04828722805644,899.7447940024036,23.21,9.035462887876928,12.12,3.815,11.44,3.1804,36.392,0.7874,31,16.725701244748535,15.717989810848882,3.1651503006012023,3.815,49.74980017465497,0.7796729432143199
2024-07-21 15:00:00+05:30,2024-07-21 09:30:00+00:00,Jul,37.49089777746491,286.59355039383775,742.658700849049,165.50248922786898,754.7547197492245,22.27,12.356121246028238,9.92,3.815,9.39,3.1804,29.8652,0.7893,31,15.100086309645315,14.207574629954138,3.142214428857715,3.815,44.64324600131471,0.7749644715050931
2024-07-21 16:00:00+05:30,2024-07-21 10:30:00+00:00,Jul,51.53257361773146,285.7991804225149,663.6021288436915,141.36288650956635,554.1501250155042,21.63,18.915848814390078,6.79,3.815,6.44,3.1728,20.4295,0.7889,31,12.220337019153847,11.537992376914145,3.134569138276553,3.815,36.16663482234521,0.7757653460919085
2024-08-21 09:00:00+05:30,2024-08-21 03:30:00+00:00,Aug,49.39797817509715,85.24620230260746,678.726668128281,149.03412514576786,590.7322105934531,20.97,5.522429177973314,8.11,3.815,7.68,3.1652,24.3007,0.7859,31,13.765445027717254,12.989916539501447,3.134569138276553,3.815,40.71779149350939,0.7753528996945748
